Edition,City,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
1896,Athens,Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,100m freestyle,M,Gold
1896,Athens,Aquatics,Swimming,"HERSCHMANN, Otto",AUT,Men,100m freestyle,M,Silver
1896,Athens,Aquatics,Swimming,"DRIVAS, Dimitrios",GRE,Men,100m freestyle for sailors,M,Bronze
1896,Athens,Aquatics,Swimming,"MALOKINIS, Ioannis",GRE,Men,100m freestyle for sailors,M,Gold
1896,Athens,Aquatics,Swimming,"CHASAPIS, Spiridon",GRE,Men,100m freestyle for sailors,M,Silver
1896,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,1200m freestyle,M,Bronze
1896,Athens,Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,1200m freestyle,M,Gold
1896,Athens,Aquatics,Swimming,"ANDREOU, Joannis",GRE,Men,1200m freestyle,M,Silver
1896,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,400m freestyle,M,Bronze
1896,Athens,Aquatics,Swimming,"NEUMANN, Paul",AUT,Men,400m freestyle,M,Gold
1896,Athens,Aquatics,Swimming,"PEPANOS, Antonios",GRE,Men,400m freestyle,M,Silver
1896,Athens,Athletics,Athletics,"LANE, Francis",USA,Men,100m,M,Bronze
1896,Athens,Athletics,Athletics,"SZOKOLYI, Alajos",HUN,Men,100m,M,Bronze
1896,Athens,Athletics,Athletics,"BURKE, Thomas",USA,Men,100m,M,Gold
1896,Athens,Athletics,Athletics,"HOFMANN, Fritz",GER,Men,100m,M,Silver
1896,Athens,Athletics,Athletics,"CURTIS, Thomas",USA,Men,110m hurdles,M,Gold
1896,Athens,Athletics,Athletics,"GOULDING, Grantley",GBR,Men,110m hurdles,M,Silver
1896,Athens,Athletics,Athletics,"LERMUSIAUX, Albin",FRA,Men,1500m,M,Bronze
1896,Athens,Athletics,Athletics,"FLACK, Edwin",AUS,Men,1500m,M,Gold
1896,Athens,Athletics,Athletics,"BLAKE, Arthur",USA,Men,1500m,M,Silver
1896,Athens,Athletics,Athletics,"GMELIN, Charles",GBR,Men,400m,M,Bronze
1896,Athens,Athletics,Athletics,"BURKE, Thomas",USA,Men,400m,M,Gold
1896,Athens,Athletics,Athletics,"JAMISON, Herbert",USA,Men,400m,M,Silver
1896,Athens,Athletics,Athletics,"GOLEMIS, Dimitrios",GRE,Men,800m,M,Bronze
1896,Athens,Athletics,Athletics,"FLACK, Edwin",AUS,Men,800m,M,Gold
1896,Athens,Athletics,Athletics,"DANI, Nandor",HUN,Men,800m,M,Silver
1896,Athens,Athletics,Athletics,"VERSIS, Sotirios",GRE,Men,discus throw,M,Bronze
1896,Athens,Athletics,Athletics,"GARRETT, Robert",USA,Men,discus throw,M,Gold
1896,Athens,Athletics,Athletics,"PARASKEVOPOULOS, Panagiotis",GRE,Men,discus throw,M,Silver
1896,Athens,Athletics,Athletics,"CLARK, Ellery",USA,Men,high jump,M,Gold
1896,Athens,Athletics,Athletics,"CONNOLLY, James",USA,Men,high jump,M,Silver
1896,Athens,Athletics,Athletics,"GARRETT, Robert",USA,Men,high jump,M,Silver
1896,Athens,Athletics,Athletics,"CONNOLLY, James",USA,Men,long jump,M,Bronze
1896,Athens,Athletics,Athletics,"CLARK, Ellery",USA,Men,long jump,M,Gold
